Time,Sample #,Type
0.328,82,(
0.332,83,(
0.372,93,p
0.376,94,p
0.424,106,)
0.444,111,)
0.476,119,(
0.488,122,(
0.552,138,N
0.552,138,N
0.600,150,)
0.600,150,)
0.764,191,(
0.772,193,(
0.848,212,t
0.848,212,t
0.956,239,)
0.960,240,)
1.204,301,(
1.204,301,(
1.248,312,p
1.248,312,p
1.292,323,)
1.296,324,)
1.348,337,(
1.368,342,(
1.428,357,N
1.428,357,N
1.476,369,)
1.480,370,)
1.628,407,(
1.640,410,(
1.724,431,t
1.724,431,t
1.816,454,)
1.836,459,)
2.052,513,(
2.056,514,(
2.096,524,p
2.096,524,p
2.144,536,)
2.156,539,)
2.212,553,(
2.220,555,(
2.272,568,N
2.272,568,N
2.320,580,)
2.324,581,)
2.488,622,(
2.488,622,(
2.568,642,t
2.572,643,t
2.660,665,)
2.672,668,)
2.924,731,(
2.928,732,(
2.972,743,p
2.976,744,p
3.028,757,)
3.028,757,)
3.084,771,(
3.092,773,(
3.152,788,N
3.152,788,N
3.200,800,)
3.200,800,)
3.348,837,(
3.368,842,(
3.448,862,t
3.448,862,t
3.540,885,)
3.544,886,)
3.836,959,(
3.836,959,(
3.880,970,p
3.884,971,p
3.924,981,)
3.932,983,)
3.988,997,(
3.996,999,(
4.052,1013,N
4.056,1014,N
4.100,1025,)
4.104,1026,)
4.252,1063,(
4.252,1063,(
4.352,1088,t
4.352,1088,t
4.456,1114,)
4.456,1114,)
4.716,1179,(
4.716,1179,(
4.764,1191,p
4.768,1192,p
4.816,1204,)
4.824,1206,)
4.852,1213,(
4.876,1219,(
4.940,1235,N
4.944,1236,N
4.988,1247,)
4.992,1248,)
5.152,1288,(
5.164,1291,(
5.236,1309,t
5.240,1310,t
5.328,1332,)
5.348,1337,)
5.672,1418,(
5.672,1418,(
5.720,1430,p
5.720,1430,p
5.780,1445,)
5.780,1445,)
5.820,1455,(
5.836,1459,(
5.896,1474,N
5.896,1474,N
5.944,1486,)
5.944,1486,)
6.116,1529,(
6.124,1531,(
6.196,1549,t
6.200,1550,t
6.312,1578,)
6.316,1579,)
6.564,1641,(
6.568,1642,(
6.612,1653,p
6.612,1653,p
6.656,1664,)
6.660,1665,)
6.724,1681,(
6.732,1683,(
6.788,1697,N
6.788,1697,N
6.836,1709,)
6.840,1710,)
6.988,1747,(
7.000,1750,(
7.084,1771,t
7.084,1771,t
7.176,1794,)
7.180,1795,)
7.476,1869,(
7.476,1869,(
7.524,1881,p
7.524,1881,p
7.572,1893,)
7.576,1894,)
7.632,1908,(
7.636,1909,(
