Time,Sample #,Type
0.544,136,(
0.588,147,N
0.672,168,N
0.720,180,)
0.856,214,(
0.880,220,t
0.940,235,t
1.008,252,)
1.352,338,(
1.400,350,N
1.492,373,N
1.532,383,)
1.668,417,(
1.696,424,t
1.772,443,t
1.832,458,)
2.172,543,(
2.216,554,N
2.312,578,)
2.320,580,(
2.384,596,t
2.404,601,)
2.448,612,(
2.508,627,t
2.576,644,t
2.660,665,)
3.008,752,(
3.052,763,N
3.152,788,N
3.156,789,)
3.316,829,(
3.344,836,t
3.412,853,t
3.488,872,)
3.868,967,(
3.912,978,N
4.012,1003,)
4.020,1005,(
4.088,1022,t
4.108,1027,)
4.136,1034,(
4.220,1055,t
4.308,1077,t
4.360,1090,)
4.736,1184,(
4.784,1196,N
4.880,1220,N
4.888,1222,)
5.576,1394,(
5.612,1403,N
5.696,1424,N
5.744,1436,)
5.844,1461,(
5.872,1468,t
5.892,1473,t
5.956,1489,)
6.352,1588,(
6.400,1600,N
6.488,1622,N
6.536,1634,)
6.648,1662,(
6.684,1671,t
6.764,1691,t
6.820,1705,)
7.148,1787,(
7.196,1799,N
7.280,1820,N
7.324,1831,)
7.456,1864,(
7.480,1870,t
7.552,1888,t
7.596,1899,)
7.976,1994,(
8.012,2003,N
8.112,2028,)
8.156,2039,(
8.180,2045,t
8.204,2051,)
8.248,2062,(
8.312,2078,t
8.464,2116,)
8.804,2201,(
8.848,2212,N
8.944,2236,N
8.996,2249,)
9.112,2278,(
9.144,2286,t
9.216,2304,t
9.292,2323,)
9.652,2413,(
9.684,2421,N
9.784,2446,N
9.788,2447,)
9.796,2449,(
9.852,2463,t
9.864,2466,)
9.892,2473,(
9.976,2494,t
10.044,2511,t
10.124,2531,)
10.500,2625,(
10.544,2636,N
10.644,2661,)
10.756,2689,(
10.856,2714,t
10.936,2734,t
10.996,2749,)
11.364,2841,(
11.400,2850,N
11.480,2870,N
11.532,2883,)
12.152,3038,(
12.196,3049,N
12.276,3069,N
12.320,3080,)
12.936,3234,(
12.984,3246,N
13.068,3267,N
13.112,3278,)
13.248,3312,(
13.268,3317,t
13.320,3330,t
13.400,3350,)
13.744,3436,(
13.788,3447,N
13.876,3469,N
13.920,3480,)
14.036,3509,(
14.080,3520,t
14.152,3538,t
14.204,3551,)
14.592,3648,(
14.628,3657,N
14.724,3681,)
14.908,3727,(
14.936,3734,t
15.004,3751,t
15.080,3770,)
15.436,3859,(
15.480,3870,N
15.576,3894,)
15.748,3937,(
15.784,3946,t
15.856,3964,t
15.932,3983,)
16.288,4072,(
16.324,4081,N
16.424,4106,)
16.592,4148,(
16.616,4154,t
16.688,4172,t
16.748,4187,)
17.120,4280,(
17.180,4295,N
17.276,4319,N
17.288,4322,)
17.456,4364,(
17.484,4371,t
17.544,4386,t
17.624,4406,)
17.960,4490,(
18.004,4501,N
18.092,4523,)
18.744,4686,(
18.788,4697,N
18.876,4719,)
19.540,4885,(
19.584,4896,N
19.672,4918,N
19.720,4930,)
19.864,4966,(
19.880,4970,t
19.928,4982,t
20.004,5001,)
20.352,5088,(
20.396,5099,N
20.496,5124,N
20.548,5137,)
20.680,5170,(
20.708,5177,t
20.780,5195,t
20.836,5209,)
21.212,5303,(
21.256,5314,N
21.356,5339,)
21.400,5350,(
21.428,5357,t
21.452,5363,)
21.476,5369,(
21.572,5393,t
21.644,5411,t
21.716,5429,)
22.068,5517,(
22.112,5528,N
22.216,5554,N
22.220,5555,)
22.380,5595,(
22.412,5603,t
22.480,5620,t
22.552,5638,)
22.904,5726,(
22.948,5737,N
23.048,5762,N
23.104,5776,)
23.224,5806,(
23.240,5810,t
23.304,5826,t
23.380,5845,)
23.740,5935,(
23.780,5945,N
23.884,5971,N
23.888,5972,)
23.896,5974,(
23.948,5987,t
23.968,5992,)
23.988,5997,(
24.076,6019,t
24.136,6034,t
24.204,6051,)
24.552,6138,(
24.596,6149,N
24.684,6171,)
24.728,6182,(
24.760,6190,t
24.768,6192,)
24.796,6199,(
24.888,6222,t
24.956,6239,t
25.016,6254,)
25.344,6336,(
25.388,6347,N
25.476,6369,N
25.524,6381,)
26.160,6540,(
26.196,6549,N
26.292,6573,)
26.996,6749,(
27.040,6760,N
27.136,6784,N
27.180,6795,)
27.336,6834,(
27.348,6837,t
27.404,6851,t
27.480,6870,)
27.872,6968,(
27.916,6979,N
28.012,7003,N
28.060,7015,)
28.188,7047,(
28.224,7056,t
28.292,7073,t
28.352,7088,)
28.728,7182,(
28.764,7191,N
28.860,7215,N
28.904,7226,)
29.044,7261,(
29.068,7267,t
29.140,7285,t
29.192,7298,)
29.536,7384,(
29.580,7395,N
29.668,7417,)
29.840,7460,(
29.868,7467,t
29.936,7484,t
30.004,7501,)
30.360,7590,(
30.400,7600,N
30.500,7625,N
30.508,7627,)
30.676,7669,(
30.688,7672,t
30.760,7690,t
30.812,7703,)
31.160,7790,(
31.256,7814,N
31.300,7825,N
31.384,7846,)
31.460,7865,(
31.488,7872,t
31.556,7889,t
31.628,7907,)
31.960,7990,(
31.996,7999,N
32.088,8022,N
32.092,8023,)
32.100,8025,(
32.156,8039,t
32.172,8043,)
32.216,8054,(
32.276,8069,t
32.336,8084,t
32.412,8103,)
32.776,8194,(
32.820,8205,N
32.912,8228,N
32.952,8238,)
33.092,8273,(
33.120,8280,t
33.180,8295,t
33.244,8311,)
33.628,8407,(
33.672,8418,N
33.772,8443,N
33.816,8454,)
34.492,8623,(
34.540,8635,N
34.636,8659,N
34.680,8670,)
35.324,8831,(
35.368,8842,N
35.460,8865,N
35.512,8878,)
35.584,8896,(
35.660,8915,t
35.716,8929,t
35.780,8945,)
36.124,9031,(
