Time,Sample #,Type
0.852,213,(
0.916,229,N
0.940,235,N
0.972,243,)
1.128,282,(
1.220,305,t
1.224,306,t
1.320,330,)
2.168,542,(
2.228,557,N
2.252,563,N
2.284,571,)
2.432,608,(
2.532,633,t
2.540,635,t
2.628,657,)
3.376,844,(
3.424,856,N
3.452,863,N
3.484,871,)
3.640,910,(
3.732,933,t
3.736,934,t
3.832,958,)
4.448,1112,(
4.492,1123,N
4.516,1129,N
4.552,1138,)
4.704,1176,(
4.796,1199,t
4.800,1200,t
4.892,1223,)
5.676,1419,(
5.720,1430,N
5.744,1436,N
5.776,1444,)
5.928,1482,(
6.028,1507,t
6.032,1508,t
6.124,1531,)
6.960,1740,(
7.004,1751,N
7.028,1757,N
7.060,1765,)
7.216,1804,(
7.312,1828,t
7.316,1829,t
7.404,1851,)
8.188,2047,(
8.240,2060,N
8.264,2066,N
8.300,2075,)
8.448,2112,(
8.544,2136,t
8.548,2137,t
8.636,2159,)
9.308,2327,(
9.356,2339,N
9.384,2346,N
9.416,2354,)
9.576,2394,(
9.660,2415,t
9.664,2416,t
9.752,2438,)
10.504,2626,(
10.552,2638,N
10.576,2644,N
10.612,2653,)
10.760,2690,(
10.852,2713,t
10.860,2715,t
10.952,2738,)
11.760,2940,(
11.816,2954,N
11.840,2960,N
11.872,2968,)
12.016,3004,(
12.120,3030,t
12.124,3031,t
12.212,3053,)
12.908,3227,(
12.968,3242,N
12.992,3248,N
13.028,3257,)
13.176,3294,(
13.276,3319,t
13.276,3319,t
13.368,3342,)
13.968,3492,(
14.012,3503,N
14.040,3510,N
14.076,3519,)
14.216,3554,(
14.316,3579,t
14.320,3580,t
14.412,3603,)
15.128,3782,(
15.188,3797,N
15.212,3803,N
15.244,3811,)
15.392,3848,(
15.488,3872,t
15.496,3874,t
15.588,3897,)
16.348,4087,(
16.392,4098,N
16.416,4104,N
16.452,4113,)
16.596,4149,(
16.696,4174,t
16.700,4175,t
16.792,4198,)
17.528,4382,(
17.572,4393,N
17.596,4399,N
17.632,4408,)
17.776,4444,(
17.876,4469,t
17.880,4470,t
17.972,4493,)
18.620,4655,(
18.664,4666,N
18.688,4672,N
18.724,4681,)
18.864,4716,(
18.968,4742,t
18.972,4743,t
19.064,4766,)
19.836,4959,(
19.884,4971,N
19.908,4977,N
19.940,4985,)
20.092,5023,(
20.184,5046,t
20.188,5047,t
20.284,5071,)
21.100,5275,(
21.148,5287,N
21.172,5293,N
21.208,5302,)
21.356,5339,(
21.456,5364,t
21.460,5365,t
21.548,5387,)
22.288,5572,(
22.348,5587,N
22.372,5593,N
22.408,5602,)
22.556,5639,(
22.648,5662,t
22.652,5663,t
22.744,5686,)
23.376,5844,(
23.424,5856,N
23.448,5862,N
23.484,5871,)
23.624,5906,(
23.728,5932,t
23.732,5933,t
23.824,5956,)
24.592,6148,(
24.636,6159,N
24.660,6165,N
24.692,6173,)
24.836,6209,(
24.936,6234,t
24.940,6235,t
25.028,6257,)
25.796,6449,(
25.860,6465,N
25.884,6471,N
25.916,6479,)
26.068,6517,(
26.164,6541,t
26.168,6542,t
26.260,6565,)
26.916,6729,(
26.972,6743,N
27.000,6750,N
27.036,6759,)
27.180,6795,(
27.276,6819,t
27.280,6820,t
27.372,6843,)
27.948,6987,(
28.000,7000,N
28.028,7007,N
28.060,7015,)
28.208,7052,(
28.304,7076,t
28.308,7077,t
28.400,7100,)
29.132,7283,(
29.176,7294,N
29.200,7300,N
29.236,7309,)
29.380,7345,(
29.480,7370,t
29.484,7371,t
29.576,7394,)
30.384,7596,(
30.432,7608,N
30.456,7614,N
30.488,7622,)
30.636,7659,(
30.736,7684,t
30.740,7685,t
30.836,7709,)
31.536,7884,(
31.580,7895,N
31.608,7902,N
31.640,7910,)
31.788,7947,(
31.884,7971,t
31.888,7972,t
31.976,7994,)
32.564,8141,(
32.612,8153,N
32.636,8159,N
32.672,8168,)
32.816,8204,(
32.916,8229,t
32.920,8230,t
33.016,8254,)
33.544,8386,(
33.588,8397,N
33.612,8403,N
33.648,8412,)
33.788,8447,(
33.892,8473,t
33.892,8473,t
33.984,8496,)
34.680,8670,(
34.724,8681,N
34.748,8687,N
34.780,8695,)
34.924,8731,(
35.024,8756,t
35.028,8757,t
35.120,8780,)
35.884,8971,(
35.940,8985,N
35.964,8991,N
35.996,8999,)
36.152,9038,(
36.244,9061,t
36.248,9062,t
36.336,9084,)
37.068,9267,(
37.132,9283,N
37.156,9289,N
37.192,9298,)
37.344,9336,(
37.432,9358,t
37.440,9360,t
37.528,9382,)
38.192,9548,(
38.256,9564,N
38.280,9570,N
38.316,9579,)
38.468,9617,(
38.556,9639,t
38.560,9640,t
38.652,9663,)
39.556,9889,(
39.600,9900,N
39.624,9906,N
39.656,9914,)
39.808,9952,(
39.900,9975,t
39.908,9977,t
40.000,10000,)
40.856,10214,(
40.916,10229,N
40.940,10235,N
40.972,10243,)
41.124,10281,(
41.220,10305,t
41.224,10306,t
41.312,10328,)
42.044,10511,(
42.104,10526,N
42.132,10533,N
42.168,10542,)
42.316,10579,(
42.408,10602,t
42.416,10604,t
42.508,10627,)
43.288,10822,(
43.336,10834,N
43.360,10840,N
43.392,10848,)
43.544,10886,(
43.640,10910,t
43.644,10911,t
43.736,10934,)
44.500,11125,(
44.556,11139,N
44.580,11145,N
44.612,11153,)
44.756,11189,(
44.856,11214,t
44.860,11215,t
44.952,11238,)
45.660,11415,(
45.708,11427,N
45.732,11433,N
45.768,11442,)
45.920,11480,(
46.016,11504,t
46.020,11505,t
46.112,11528,)
46.728,11682,(
46.780,11695,N
46.804,11701,N
46.840,11710,)
46.984,11746,(
47.084,11771,t
47.088,11772,t
47.180,11795,)
47.784,11946,(
47.840,11960,N
47.864,11966,N
47.900,11975,)
48.044,12011,(
48.144,12036,t
48.148,12037,t
48.240,12060,)
48.908,12227,(
48.972,12243,N
48.996,12249,N
49.028,12257,)
49.168,12292,(
49.272,12318,t
49.276,12319,t
49.372,12343,)
50.044,12511,(
50.108,12527,N
50.132,12533,N
50.168,12542,)
50.312,12578,(
50.412,12603,t
50.416,12604,t
50.512,12628,)
51.136,12784,(
51.188,12797,N
51.216,12804,N
51.248,12812,)
51.392,12848,(
51.492,12873,t
51.496,12874,t
51.588,12897,)
52.192,13048,(
52.252,13063,N
52.276,13069,N
52.308,13077,)
52.460,13115,(
52.556,13139,t
52.556,13139,t
52.652,13163,)
53.540,13385,(
53.584,13396,N
53.612,13403,N
53.644,13411,)
53.784,13446,(
53.884,13471,t
53.888,13472,t
53.980,13495,)
54.712,13678,(
54.756,13689,N
54.780,13695,N
54.816,13704,)
54.968,13742,(
55.060,13765,t
55.064,13766,t
55.156,13789,)
55.792,13948,(
55.844,13961,N
55.868,13967,N
55.904,13976,)
56.044,14011,(
56.148,14037,t
56.152,14038,t
56.244,14061,)
57.008,14252,(
57.056,14264,N
57.080,14270,N
57.112,14278,)
57.272,14318,(
57.360,14340,t
57.364,14341,t
57.456,14364,)
58.140,14535,(
58.184,14546,N
58.212,14553,N
58.248,14562,)
58.392,14598,(
58.488,14622,t
58.492,14623,t
58.588,14647,)
59.208,14802,(
59.252,14813,N
59.280,14820,N
59.312,14828,)
59.460,14865,(
59.560,14890,t
59.564,14891,t
59.656,14914,)
60.404,15101,(
60.448,15112,N
60.472,15118,N
60.508,15127,)
60.652,15163,(
60.744,15186,t
60.752,15188,t
60.844,15211,)
61.632,15408,(
61.684,15421,N
61.712,15428,N
61.744,15436,)
61.900,15475,(
61.992,15498,t
61.996,15499,t
62.088,15522,)
62.748,15687,(
62.804,15701,N
62.832,15708,N
62.864,15716,)
63.020,15755,(
63.116,15779,t
63.116,15779,t
63.204,15801,)
63.960,15990,(
64.004,16001,N
64.028,16007,N
64.064,16016,)
64.216,16054,(
64.308,16077,t
64.312,16078,t
64.408,16102,)
65.152,16288,(
65.196,16299,N
65.220,16305,N
65.256,16314,)
65.400,16350,(
65.500,16375,t
65.504,16376,t
65.592,16398,)
66.164,16541,(
66.220,16555,N
66.248,16562,N
66.284,16571,)
66.424,16606,(
66.528,16632,t
66.528,16632,t
66.624,16656,)
67.120,16780,(
67.180,16795,N
67.204,16801,N
67.236,16809,)
67.380,16845,(
67.480,16870,t
67.484,16871,t
67.576,16894,)
68.216,17054,(
68.260,17065,N
68.284,17071,N
68.316,17079,)
68.464,17116,(
68.564,17141,t
68.568,17142,t
68.660,17165,)
