Time,Sample #,Type
0.328,82,(
0.384,96,p
0.436,109,)
0.468,117,(
0.504,126,N
0.508,127,N
0.556,139,)
0.568,142,(
0.632,158,t
0.648,162,t
0.740,185,t
0.748,187,)
0.900,225,(
0.928,232,p
0.936,234,p
0.988,247,)
1.032,258,(
1.064,266,N
1.068,267,N
1.096,274,)
1.216,304,(
1.300,325,t
1.308,327,)
1.464,366,(
1.492,373,p
1.500,375,p
1.540,385,)
1.592,398,(
1.624,406,N
1.628,407,N
1.680,420,)
1.780,445,(
1.860,465,t
1.872,468,)
2.028,507,(
2.048,512,p
2.056,514,p
2.104,526,)
2.148,537,(
2.180,545,N
2.184,546,N
2.232,558,)
2.244,561,(
2.324,581,t
2.380,595,)
2.572,643,(
2.604,651,p
2.616,654,p
2.652,663,)
2.704,676,(
2.740,685,N
2.740,685,N
2.768,692,)
2.892,723,(
2.976,744,t
2.988,747,)
3.132,783,(
3.164,791,p
3.172,793,p
3.220,805,)
3.268,817,(
3.300,825,N
3.304,826,N
3.352,838,)
3.452,863,(
3.540,885,t
3.556,889,t
3.600,900,)
3.692,923,(
3.728,932,p
3.732,933,p
3.776,944,)
3.828,957,(
3.864,966,N
3.864,966,N
3.916,979,)
4.020,1005,(
4.104,1026,t
4.128,1032,t
4.172,1043,)
4.248,1062,(
4.288,1072,p
4.308,1077,p
4.360,1090,)
4.388,1097,(
4.424,1106,N
4.424,1106,N
4.472,1118,)
4.576,1144,(
4.664,1166,t
4.672,1168,)
4.840,1210,(
4.848,1212,p
4.872,1218,p
4.908,1227,)
4.952,1238,(
4.988,1247,N
4.988,1247,N
5.036,1259,)
5.136,1284,(
5.224,1306,t
5.236,1309,)
5.380,1345,(
5.412,1353,p
5.428,1357,p
5.468,1367,)
5.516,1379,(
5.548,1387,N
5.552,1388,N
5.600,1400,)
5.708,1427,(
5.792,1448,t
5.800,1450,)
5.948,1487,(
5.980,1495,p
5.988,1497,p
6.040,1510,)
6.088,1522,(
6.120,1530,N
6.124,1531,N
6.172,1543,)
6.280,1570,(
6.360,1590,t
6.376,1594,)
6.520,1630,(
6.552,1638,p
6.560,1640,p
6.612,1653,)
6.652,1663,(
6.688,1672,N
6.692,1673,N
6.740,1685,)
6.848,1712,(
6.932,1733,t
6.944,1736,)
7.084,1771,(
7.120,1780,p
7.128,1782,p
7.176,1794,)
7.224,1806,(
7.260,1815,N
7.260,1815,N
7.308,1827,)
7.408,1852,(
7.500,1875,t
7.512,1878,)
7.664,1916,(
7.692,1923,p
7.704,1926,p
