Time,Sample #,Type
0.312,78,(
0.388,97,p
0.412,103,)
0.532,133,(
0.544,136,(
0.588,147,N
0.672,168,N
0.720,180,)
0.756,189,)
0.784,196,(
0.856,214,(
0.880,220,t
0.940,235,t
1.008,252,)
1.036,259,)
1.352,338,(
1.352,338,(
1.400,350,N
1.492,373,N
1.532,383,)
1.572,393,)
1.600,400,(
1.668,417,(
1.696,424,t
1.772,443,t
1.832,458,)
1.856,464,)
1.880,470,(
1.924,481,p
1.940,485,(
1.976,494,p
1.984,496,)
2.028,507,)
2.164,541,(
2.172,543,(
2.216,554,N
2.312,578,)
2.312,578,N
2.320,580,(
2.384,596,t
2.404,601,)
2.448,612,(
2.508,627,t
2.576,644,t
2.660,665,)
2.684,671,)
2.896,724,(
2.932,733,p
2.980,745,)
3.008,752,(
3.008,752,(
3.052,763,N
3.152,788,N
3.156,789,)
3.240,810,)
3.264,816,(
3.316,829,(
3.344,836,t
3.412,853,t
3.488,872,)
3.488,872,)
3.860,965,(
3.868,967,(
3.912,978,N
4.012,1003,)
4.012,1003,N
4.020,1005,(
4.088,1022,t
4.108,1027,)
4.136,1034,(
4.220,1055,t
4.308,1077,t
4.360,1090,)
4.376,1094,)
4.720,1180,(
4.736,1184,(
4.784,1196,N
4.880,1220,N
4.888,1222,)
4.928,1232,(
4.960,1240,)
4.984,1246,(
5.020,1255,t
5.088,1272,t
5.160,1290,t
5.220,1305,)
5.224,1306,)
5.572,1393,(
5.576,1394,(
5.612,1403,N
5.696,1424,N
5.744,1436,)
5.804,1451,)
5.840,1460,(
5.844,1461,(
5.872,1468,t
5.892,1473,t
5.956,1489,)
6.020,1505,)
6.332,1583,(
6.352,1588,(
6.400,1600,N
6.488,1622,N
6.536,1634,)
6.572,1643,)
6.596,1649,(
6.648,1662,(
6.684,1671,t
6.764,1691,t
6.820,1705,)
6.852,1713,)
7.148,1787,(
7.148,1787,(
7.196,1799,N
7.280,1820,N
7.324,1831,)
7.384,1846,)
